time,open,high,low,close,volume
2021-02-08 05:45:00,120.787521216,120.787521216,120.787521216,120.787521216,631
2021-02-08 05:30:00,120.678970339,120.678970339,120.678970339,120.678970339,451
2021-02-08 05:00:00,120.481605108,120.481605108,120.481605108,120.481605108,359
2021-02-05 19:00:00,120.185557262,120.185557262,120.185557262,120.185557262,164
2021-02-05 18:45:00,120.185557262,120.185557262,120.185557262,120.185557262,401
2021-02-05 18:30:00,120.215162046,120.22503030799999,120.185557262,120.185557262,774
2021-02-05 18:15:00,120.215162046,120.215162046,120.215162046,120.215162046,100
2021-02-05 17:45:00,120.195425523,120.195425523,120.195425523,120.195425523,398
2021-02-05 17:15:00,120.185557262,120.185557262,120.185557262,120.185557262,397
2021-02-05 17:00:00,120.195425523,120.195425523,120.116479431,120.195425523,1674
2021-02-05 16:45:00,120.077006385,120.077006385,120.05726986200001,120.06713812299999,982
2021-02-05 16:30:00,120.185557262,120.185557262,120.185557262,120.185557262,43699
2021-02-05 16:15:00,120.185557262,120.215162046,120.12634769299999,120.185557262,92036
2021-02-05 16:00:00,119.84016810799999,120.205293785,119.84016810799999,120.17568899999999,349370
2021-02-05 15:45:00,119.82536571600001,119.948718985,119.731617231,119.840069425,143688
2021-02-05 15:30:00,119.988192031,120.03753333899999,119.800695062,119.820431585,125060
2021-02-05 15:15:00,119.95858724600001,120.02766507700001,119.909245939,119.978323769,110147
2021-02-05 15:00:00,119.998060293,119.998060293,119.85003637,119.94881766799999,98543
2021-02-05 14:45:00,119.88950941600001,120.06713812299999,119.879641154,120.007928554,99767
2021-02-05 14:30:00,119.88950941600001,119.96845550799999,119.761222016,119.899377677,94454
2021-02-05 14:15:00,119.871647862,119.948718985,119.80720811399999,119.89089097200001,94239
2021-02-05 14:00:00,119.77109027700001,119.879641154,119.751353754,119.86691109700001,69390
2021-02-05 13:45:00,119.800695062,119.869871575,119.731617231,119.77109027700001,84642
2021-02-05 13:30:00,119.77276788200001,119.884970015,119.714841186,119.810563323,74566
2021-02-05 13:15:00,119.84016810799999,119.899377677,119.731617231,119.77109027700001,68558
2021-02-05 13:00:00,119.623066354,119.859904631,119.578659177,119.859904631,100023
2021-02-05 12:45:00,119.38109658100001,119.711880708,119.33688677,119.60332983100001,81233
2021-02-05 12:30:00,119.40596459999999,119.544120262,119.327018508,119.397675261,105390
2021-02-05 12:15:00,119.495667098,119.495667098,119.317150247,119.40596459999999,112364
2021-02-05 12:00:00,119.445437646,119.64280287700001,119.38622807700001,119.50464721600001,108609
2021-02-05 11:45:00,119.68227592299999,119.721946335,119.445437646,119.445437646,117313
2021-02-05 11:30:00,119.59346157,119.711880708,119.415832862,119.681289097,161158
2021-02-05 11:15:00,119.79082679999999,119.85497050000001,119.534252,119.59346157,120553
2021-02-05 11:00:00,119.973488321,119.998060293,119.741485493,119.776024408,167515
2021-02-05 10:45:00,119.65267113899999,120.02766507700001,119.65267113899999,119.96845550799999,202560
2021-02-05 10:30:00,119.186790512,119.731617231,119.126988847,119.621882163,138932
2021-02-05 10:15:00,119.72174897,119.859904631,119.19873110799999,119.19873110799999,231347
2021-02-05 10:00:00,119.10004849299999,120.136215954,119.070443708,119.711880708,196463
2021-02-05 09:45:00,119.40596459999999,119.830299846,118.93228804700001,119.129653277,488529
2021-02-05 09:30:00,119.780958539,119.85003637,119.307281985,119.307281985,7444
2021-02-05 09:15:00,119.800695062,119.85003637,119.711880708,119.85003637,1747
2021-02-05 09:00:00,119.84016810799999,119.85003637,119.751353754,119.751353754,2125
2021-02-05 08:45:00,119.780958539,119.84016810799999,119.780958539,119.84016810799999,2395
2021-02-05 08:30:00,119.68227592299999,119.780958539,119.68227592299999,119.780958539,365
2021-02-05 08:15:00,119.770596864,119.770596864,119.50464721600001,119.50464721600001,548
2021-02-05 07:30:00,119.67240766200001,119.67240766200001,119.67240766200001,119.67240766200001,240
2021-02-05 07:15:00,119.67240766200001,119.67240766200001,119.46517417,119.46517417,2566
2021-02-05 05:00:00,119.40596459999999,119.40596459999999,119.40596459999999,119.40596459999999,423
2021-02-04 20:00:00,119.248072416,119.248072416,119.248072416,119.248072416,100
2021-02-04 19:45:00,119.40596459999999,119.40596459999999,119.27767720000001,119.27767720000001,221
2021-02-04 19:30:00,119.307281985,119.307281985,119.307281985,119.307281985,320
2021-02-04 19:00:00,119.40596459999999,119.40596459999999,119.40596459999999,119.40596459999999,400
2021-02-04 18:45:00,119.396096339,119.396096339,119.356623293,119.356623293,389
2021-02-04 18:30:00,119.36649155399999,119.396096339,119.356623293,119.396096339,1021
2021-02-04 18:15:00,119.228335893,119.396096339,119.228335893,119.396096339,698
2021-02-04 18:00:00,119.20859937,119.425701123,119.20859937,119.238204154,2745
2021-02-04 17:45:00,119.396096339,119.396096339,119.396096339,119.396096339,602
2021-02-04 17:30:00,119.159258062,119.159258062,119.159258062,119.159258062,558
2021-02-04 17:15:00,119.159258062,119.159258062,119.159258062,119.159258062,100
2021-02-04 17:00:00,119.396096339,119.396096339,119.396096339,119.396096339,1116
2021-02-04 16:45:00,119.396096339,119.396096339,119.396096339,119.396096339,512
2021-02-04 16:30:00,119.27767720000001,119.396096339,119.040838923,119.396096339,1250
2021-02-04 16:15:00,119.425701123,119.50464721600001,119.396096339,119.425701123,112663
2021-02-04 16:00:00,119.08031197,119.50464721600001,119.039753415,119.425701123,443956
2021-02-04 15:45:00,119.06550957700001,119.159258062,119.01616827,119.08031197,158274
2021-02-04 15:30:00,118.912255476,119.08524609999999,118.83360543100001,119.051792694,128473
2021-02-04 15:15:00,118.983504324,118.986563485,118.853341954,118.91255152299999,96379
2021-02-04 15:00:00,118.95202457,119.040838923,118.84347369299999,118.98261618,95017
2021-02-04 14:45:00,118.87959153,119.050707185,118.86814434700001,118.961892831,88125
2021-02-04 14:30:00,119.011234139,119.011234139,118.80400064700001,118.873078477,118286
2021-02-04 14:15:00,118.73492281600001,119.030970662,118.675713247,119.00136587700001,126740
2021-02-04 14:00:00,118.78426412299999,118.843572375,118.61650367700001,118.744791077,90753
2021-02-04 13:45:00,118.586898893,118.831434414,118.56222823899999,118.78426412299999,89880
2021-02-04 13:30:00,118.73492281600001,118.73492281600001,118.532623454,118.591833024,98442
2021-02-04 13:15:00,118.54742584700001,118.739856947,118.512886931,118.725054554,82213
2021-02-04 13:00:00,118.655976724,118.69544977,118.527689324,118.557294108,106947
2021-02-04 12:45:00,118.705318031,118.83360543100001,118.626371939,118.675713247,73397
2021-02-04 12:30:00,118.82373717,118.84327632700001,118.586898893,118.725054554,137976
